date,session_key,driver_number,meeting_key,position
2025-09-20T08:59:49.932000+00:00,9899,14,1269,14
2025-09-20T08:59:49.932000+00:00,9899,16,1269,3
2025-09-20T08:59:49.932000+00:00,9899,18,1269,13
2025-09-20T08:59:49.932000+00:00,9899,22,1269,8
2025-09-20T08:59:49.932000+00:00,9899,23,1269,6
2025-09-20T08:59:49.932000+00:00,9899,27,1269,11
2025-09-20T08:59:49.932000+00:00,9899,30,1269,9
2025-09-20T08:59:49.932000+00:00,9899,44,1269,2
2025-09-20T08:59:49.932000+00:00,9899,81,1269,1
2025-09-20T08:59:49.932000+00:00,9899,87,1269,12
2025-09-20T08:59:56.183000+00:00,9899,10,1269,19
2025-09-20T08:59:56.183000+00:00,9899,14,1269,15
2025-09-20T08:59:56.183000+00:00,9899,18,1269,14
2025-09-20T08:59:56.183000+00:00,9899,31,1269,17
2025-09-20T08:59:56.183000+00:00,9899,43,1269,12
2025-09-20T08:59:56.183000+00:00,9899,55,1269,16
2025-09-20T08:59:56.183000+00:00,9899,63,1269,18
2025-09-20T08:59:56.183000+00:00,9899,87,1269,13
2025-09-20T09:00:23.945000+00:00,9899,1,1269,5
2025-09-20T09:00:23.945000+00:00,9899,4,1269,8
2025-09-20T09:00:23.945000+00:00,9899,6,1269,6
