date,session_key,driver_number,position,meeting_key
2025-09-20T12:04:06.338000+00:00,9900,5,4,1269
2025-09-20T12:04:10.250000+00:00,9900,4,6,1269
2025-09-20T12:04:10.250000+00:00,9900,44,7,1269
2025-09-20T12:04:10.250000+00:00,9900,30,8,1269
2025-09-20T12:04:10.250000+00:00,9900,16,9,1269
2025-09-20T12:04:10.250000+00:00,9900,6,10,1269
2025-09-20T12:04:10.250000+00:00,9900,55,11,1269
2025-09-20T12:04:10.250000+00:00,9900,14,12,1269
2025-09-20T12:04:10.250000+00:00,9900,43,13,1269
2025-09-20T12:04:10.250000+00:00,9900,22,14,1269
2025-09-20T12:04:10.250000+00:00,9900,10,15,1269
2025-09-20T12:04:10.250000+00:00,9900,18,16,1269
2025-09-20T12:04:13.193000+00:00,9900,4,7,1269
2025-09-20T12:04:13.193000+00:00,9900,44,8,1269
2025-09-20T12:04:13.193000+00:00,9900,30,9,1269
2025-09-20T12:04:13.193000+00:00,9900,16,10,1269
2025-09-20T12:04:13.193000+00:00,9900,6,11,1269
2025-09-20T12:04:13.193000+00:00,9900,27,6,1269
2025-09-20T12:04:13.193000+00:00,9900,55,12,1269
2025-09-20T12:04:13.193000+00:00,9900,14,13,1269
2025-09-20T12:04:13.193000+00:00,9900,43,5,1269
2025-09-20T12:04:16.082000+00:00,9900,1,18,1269
2025-09-20T12:04:16.082000+00:00,9900,81,19,1269
2025-09-20T12:04:16.082000+00:00,9900,12,20,1269
2025-09-20T12:04:16.082000+00:00,9900,63,9,1269
2025-09-20T12:04:16.082000+00:00,9900,30,10,1269
2025-09-20T12:04:16.082000+00:00,9900,16,11,1269
2025-09-20T12:04:16.082000+00:00,9900,6,12,1269
2025-09-20T12:04:16.082000+00:00,9900,55,13,1269
2025-09-20T12:04:16.082000+00:00,9900,14,14,1269
2025-09-20T12:04:16.082000+00:00,9900,22,15,1269
2025-09-20T12:04:16.082000+00:00,9900,10,16,1269
2025-09-20T12:04:16.082000+00:00,9900,18,17,1269
2025-09-20T12:04:23.211000+00:00,9900,4,8,1269
2025-09-20T12:04:23.211000+00:00,9900,44,9,1269
2025-09-20T12:04:23.211000+00:00,9900,63,10,1269
2025-09-20T12:04:23.211000+00:00,9900,23,4,1269
2025-09-20T12:04:23.211000+00:00,9900,87,2,1269
2025-09-20T12:04:23.211000+00:00,9900,30,11,1269
2025-09-20T12:04:23.211000+00:00,9900,16,12,1269
2025-09-20T12:04:23.211000+00:00,9900,6,13,1269
2025-09-20T12:04:23.211000+00:00,9900,27,7,1269
2025-09-20T12:04:23.211000+00:00,9900,55,1,1269
2025-09-20T12:04:23.211000+00:00,9900,43,6,1269
2025-09-20T12:04:23.211000+00:00,9900,31,3,1269
2025-09-20T12:04:23.211000+00:00,9900,5,5,1269
2025-09-20T12:04:29.913000+00:00,9900,4,9,1269
2025-09-20T12:04:29.913000+00:00,9900,44,10,1269
2025-09-20T12:04:29.913000+00:00,9900,63,11,1269
2025-09-20T12:04:29.913000+00:00,9900,23,5,1269
2025-09-20T12:04:29.913000+00:00,9900,30,12,1269
2025-09-20T12:04:29.913000+00:00,9900,16,13,1269
2025-09-20T12:04:29.913000+00:00,9900,6,3,1269
2025-09-20T12:04:29.913000+00:00,9900,27,8,1269
2025-09-20T12:04:29.913000+00:00,9900,43,7,1269
2025-09-20T12:04:29.913000+00:00,9900,31,4,1269
2025-09-20T12:04:29.913000+00:00,9900,5,6,1269
2025-09-20T12:04:33.826000+00:00,9900,1,19,1269
2025-09-20T12:04:33.826000+00:00,9900,81,20,1269
2025-09-20T12:04:33.826000+00:00,9900,12,11,1269
2025-09-20T12:04:33.826000+00:00,9900,63,12,1269
2025-09-20T12:04:33.826000+00:00,9900,30,13,1269
2025-09-20T12:04:33.826000+00:00,9900,16,14,1269
2025-09-20T12:04:33.826000+00:00,9900,14,15,1269
2025-09-20T12:04:33.826000+00:00,9900,22,16,1269
2025-09-20T12:04:33.826000+00:00,9900,10,17,1269
2025-09-20T12:04:33.826000+00:00,9900,18,18,1269
2025-09-20T12:04:40.288000+00:00,9900,4,10,1269
2025-09-20T12:04:40.288000+00:00,9900,44,11,1269
2025-09-20T12:04:40.288000+00:00,9900,12,12,1269
2025-09-20T12:04:40.288000+00:00,9900,63,13,1269
2025-09-20T12:04:40.288000+00:00,9900,23,6,1269
2025-09-20T12:04:40.288000+00:00,9900,30,14,1269
2025-09-20T12:04:40.288000+00:00,9900,16,15,1269
2025-09-20T12:04:40.288000+00:00,9900,27,9,1269
2025-09-20T12:04:40.288000+00:00,9900,14,16,1269
2025-09-20T12:04:40.288000+00:00,9900,43,8,1269
2025-09-20T12:04:40.288000+00:00,9900,22,17,1269
2025-09-20T12:04:40.288000+00:00,9900,5,7,1269
2025-09-20T12:04:40.288000+00:00,9900,10,5,1269
2025-09-20T12:04:41.667000+00:00,9900,1,11,1269
2025-09-20T12:04:41.667000+00:00,9900,44,12,1269
2025-09-20T12:04:41.667000+00:00,9900,12,13,1269
2025-09-20T12:04:41.667000+00:00,9900,63,14,1269
2025-09-20T12:04:41.667000+00:00,9900,30,15,1269
2025-09-20T12:04:41.667000+00:00,9900,16,16,1269
2025-09-20T12:04:41.667000+00:00,9900,14,17,1269
2025-09-20T12:04:41.667000+00:00,9900,22,18,1269
2025-09-20T12:04:41.667000+00:00,9900,18,19,1269
2025-09-20T12:04:48.505000+00:00,9900,4,11,1269
2025-09-20T12:04:48.505000+00:00,9900,1,12,1269
2025-09-20T12:04:48.505000+00:00,9900,44,13,1269
2025-09-20T12:04:48.505000+00:00,9900,12,14,1269
2025-09-20T12:04:48.505000+00:00,9900,63,15,1269
2025-09-20T12:04:48.505000+00:00,9900,23,7,1269
2025-09-20T12:04:48.505000+00:00,9900,87,3,1269
2025-09-20T12:04:48.505000+00:00,9900,30,1,1269
2025-09-20T12:04:48.505000+00:00,9900,6,4,1269
2025-09-20T12:04:48.505000+00:00,9900,27,10,1269
2025-09-20T12:04:48.505000+00:00,9900,55,2,1269
2025-09-20T12:04:48.505000+00:00,9900,43,9,1269
2025-09-20T12:04:48.505000+00:00,9900,31,5,1269
2025-09-20T12:04:48.505000+00:00,9900,5,8,1269
2025-09-20T12:04:48.505000+00:00,9900,10,6,1269
2025-09-20T12:04:57.814000+00:00,9900,4,12,1269
2025-09-20T12:04:57.814000+00:00,9900,1,13,1269
2025-09-20T12:04:57.814000+00:00,9900,44,14,1269
2025-09-20T12:04:57.814000+00:00,9900,12,15,1269
2025-09-20T12:04:57.814000+00:00,9900,63,16,1269
2025-09-20T12:04:57.814000+00:00,9900,23,8,1269
2025-09-20T12:04:57.814000+00:00,9900,87,4,1269
2025-09-20T12:04:57.814000+00:00,9900,16,17,1269
2025-09-20T12:04:57.814000+00:00,9900,6,5,1269
2025-09-20T12:04:57.814000+00:00,9900,27,11,1269
2025-09-20T12:04:57.814000+00:00,9900,14,3,1269
2025-09-20T12:04:57.814000+00:00,9900,43,10,1269
2025-09-20T12:04:57.814000+00:00,9900,31,6,1269
2025-09-20T12:04:57.814000+00:00,9900,5,9,1269
