date,session_key,meeting_key,position,driver_number
2025-11-08T18:10:01.058000+00:00,9865,1273,16,44
2025-11-08T18:10:01.058000+00:00,9865,1273,13,22
2025-11-08T18:10:34.207000+00:00,9865,1273,2,4
2025-11-08T18:10:34.207000+00:00,9865,1273,15,81
2025-11-08T18:10:34.207000+00:00,9865,1273,10,14
2025-11-08T18:10:34.207000+00:00,9865,1273,13,10
2025-11-08T18:10:34.207000+00:00,9865,1273,12,55
2025-11-08T18:10:34.207000+00:00,9865,1273,11,6
2025-11-08T18:10:34.207000+00:00,9865,1273,3,30
2025-11-08T18:10:34.207000+00:00,9865,1273,6,23
2025-11-08T18:10:34.207000+00:00,9865,1273,8,31
2025-11-08T18:10:34.207000+00:00,9865,1273,4,87
2025-11-08T18:10:34.207000+00:00,9865,1273,9,18
2025-11-08T18:10:34.207000+00:00,9865,1273,16,43
2025-11-08T18:10:34.207000+00:00,9865,1273,5,1
